Id,Title,Keywords,Field_Auto,Cluster,Link
1,Mice in Bion-M 1 space mission: training and selection,"['microgravity studies mice', 'functional test battery', 'biosatellite remained ground', 'blood pressure measurement', 'behavioral functional', 'c57 bl6', '19 19 2013']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/
2,"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21","['mmp10 localized osteocytes', 'mineral content', 'function cdkn1a', 'inhibiting cell cycle', 'stem cell', 'space shuttle mission', 'c57bl 6j mice', 'µct', '11 91 trap']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/
3,Stem Cell Health and Tissue Regeneration in Microgravity,"['microgravity enhances tissue', 'dysregulation vascular remodeling', 'differentiation hematopoietic cardiomyocyte', 'regenerative therapies', 'biomedical innovations transformative', 'treating cardiac diseases', 'biology human health', 'cancer biology promotes', 'stem cells', 'applications earth keywords']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/
4,Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,"['derived stem cells', 'pluripotent markers oct4', 'enhance regenerative therapies', 'μm cultured using', 'microgravity culture', 'microsphere multilineage', 'fold fold increases', 'formation network formation', 'culture conditions', 'studies indicated heterogeneity']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/
5,Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,"['wetlab facility provides', 'molecular biology laboratory', 'lyophilized pcr assays', 'real time pcr', 'cells mammalian tissue', 'rna sample preparation', 'methods', 'performed']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/
6,Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,"['apoptosis related genes', 'spaceflight cardiac changes', 'related stress response', 'oxidative stress', 'stress nfe2l2 nadph', 'keywords spaceflight microgravity', 'regulating redox balance', 'signaling quantitative pcr', 'understood tested hypothesis']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/
7,Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,"['cgy impaired osteoblastogenesis', 'marrow cells produced', 'related genes 16', 'mev high let', 'keywords cancellous bone', 'culture conditions', 'health subsequent aging', 'old male c57bl6', 'analyzed', '50 200']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/
8,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,"['translational research efforts', 'stimulating collaborative research', 'rapidly achieve nasa', 'research nasa provide', 'goals human spaceflight', 'forward overall objective', 'biology human research', 'discuss options path', 'spearheaded communications', 'objective']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/
9,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,"['ensure uniform contact', 'group l5 vertebrae', 'cyclic loading experiments', 'vertebrae bone quality', 'based finite element', 'c57bl 6j male', 'behavior', 'strain standard deviation', 'jigs', 'method methods']",C. Elegans & Muscle Studies,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/
10,Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,"['collagen crosslinks', 'ray radiation dose', 'keywords ionizing radiation', 'strength fatigue life', 'old female c57bl', 'material', '50 73']",C. Elegans & Muscle Studies,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/
11,Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,"['isolated muscles p70s6k', 'sarcoglycan using c2c12', 'previous studies mechanosensitive', 'keywords sarcoglycan sarcoglycanopathies', 'dependent mechanotransduction', 'c57bl c57', 'sarcolemma', 'spectrum muscular dystrophies', 'methods']",C. Elegans & Muscle Studies,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/
12,AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,"['role atrabd2b atrabd2c', 'type plants atrabd2b', 'localize golgi bodies', '2c mutants produce', 'roles pollen development', 'play important roles', 'plants vegetative growth', 'family members', 'findings support partially', 'background rab']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/
13,TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,"['trafficking vacuole tno1', 'efficient membrane fusion', 'salt stress response', 'tno1 required efficient', 'mutant showed increased', 'previously uncharacterized protein', 'potentially roles vesicle', 'arabidopsis arabidopsis thaliana', 'immunofluorescence microscopy', 'ethylmaleimide sensitive factor']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/
14,Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,"['family arabidopsis fucosyltransferases', 'uncharacterized arabidopsis thaliana', 'atgtlp arabidopsis thaliana', 'functions keywords glycosylation', 'mutants showed obvious', 'amino acid sequences', 'atgtlp high similarity', 'ransferase ike rotein', 'root length fresh']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/
15,Root growth movements: Waving and skewing.,"['tno1 modulates root', 'destabilization microtubule destabilization', 'base hypocotyls', 'root growth keywords', 'arabidopsis thaliana', 'root skewing mechanism', 'display enhanced', 'identifying genes', 'growth medium']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/
16,Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,"['receiving endocytosed cargo', 'tno1 mediating auxin', 'root development', 'organelle functions', 'fusion protein syp41', 'transport proteins keywords', 'natural auxin indoleacetic', 'network tgn dynamic', 'studies demonstrate role']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/
